Experiment	Paper	Pathogen	Classification	VOC	PubChem ID	Analytical Method	Sample origin															
1	1	Pseudomonas aeruginosa	Gram negative bacterium	1-butanol	263	SIFT-MS analysis	ATCC 15692															
1	1	Pseudomonas aeruginosa	Gram negative bacterium	1-pentanol	6276	SIFT-MS analysis	ATCC 15692															
1	1	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	SIFT-MS analysis	ATCC 15692															
1	1	Pseudomonas aeruginosa	Gram negative bacterium	ethanol	702	SIFT-MS analysis	ATCC 15692															
1	1	Pseudomonas aeruginosa	Gram negative bacterium	formaldehyde	712	SIFT-MS analysis	ATCC 15692															
1	1	Pseudomonas aeruginosa	Gram negative bacterium	hydrogen sulfide	402	SIFT-MS analysis	ATCC 15692															
1	1	Pseudomonas aeruginosa	Gram negative bacterium	isoprene	6557	SIFT-MS analysis	ATCC 15692															
1	1	Pseudomonas aeruginosa	Gram negative bacterium	methanethiol	878	SIFT-MS analysis	ATCC 15692															
1	1	Pseudomonas aeruginosa	Gram negative bacterium	trimethylamine	1146	SIFT-MS analysis	ATCC 15692															
2	1	Pseudomonas aeruginosa	Gram negative bacterium	1-butanol	263	SIFT-MS analysis	ATCC 9027															
2	1	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	SIFT-MS analysis	ATCC 9027															
2	1	Pseudomonas aeruginosa	Gram negative bacterium	dimethyl disulfide	12232	SIFT-MS analysis	ATCC 9027															
2	1	Pseudomonas aeruginosa	Gram negative bacterium	ethanol	702	SIFT-MS analysis	ATCC 9027															
2	1	Pseudomonas aeruginosa	Gram negative bacterium	formaldehyde	712	SIFT-MS analysis	ATCC 9027															
2	1	Pseudomonas aeruginosa	Gram negative bacterium	hydrogen sulfide	402	SIFT-MS analysis	ATCC 9027															
2	1	Pseudomonas aeruginosa	Gram negative bacterium	methanethiol	878	SIFT-MS analysis	ATCC 9027															
2	1	Pseudomonas aeruginosa	Gram negative bacterium	pyrrole	8027	SIFT-MS analysis	ATCC 9027															
2	1	Pseudomonas aeruginosa	Gram negative bacterium	trimethylamine	1146	SIFT-MS analysis	ATCC 9027															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	isopentanol	31260	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	ethanol	702	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	2-butanol	6568	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	2-nonanone	13187	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	2-heptanone	8051	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	4-heptanone	31246	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	3-octanone	246728	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	2-butanone	6569	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	methyl isobutyl ketone	7909	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	ethyl acetate	8857	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	methyl 2-methylbutyrate	13357	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	methyl methacrylate	6658	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	ethyl 2-methylbutyrate	24020	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	2-methylbutyl isobutyrate	97883	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	isoamyl butyrate	7795	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	2-methylbutyl 2-methylbutyrate	17129	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	amyl isovalerate	95978	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	dimethyl sulfide	1068	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	dimethyl trisulfide	19310	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	methanethiol	878	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	mercaptoacetone	520144	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	2-methoxy-5-methylthiophene	141615	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	3-(ethylthio)propanal	229467	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	1-undecene	13190	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	2-methyl-2-butene	10553	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	"1,10-undecadiene"	139543	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	1-nonene	31285	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	1-decene	13381	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	1-dodecene	8183	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	n-butane	7843	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	isoprene	6557	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	10-methyl-1-undecene	519941	GC-MS analysis	ATCC 27853															
